index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
28 transient_OFF 3509 130.861 53.715 LGN_exc 30
28 transient_OFF 3696 128.026 58.998 LGN_exc 30
28 transient_OFF 3916 130.311 60.830 LGN_exc 30
28 transient_OFF 4939 128.637 52.818 LGN_exc 30
28 transient_OFF 5757 127.927 61.454 LGN_exc 30
28 transient_OFF 5800 127.241 55.382 LGN_exc 30
28 transient_ON 475 138.194 56.853 LGN_exc 30
28 transient_ON 1463 142.448 60.556 LGN_exc 30
28 transient_ON 1764 138.954 51.972 LGN_exc 30
28 transient_ON 1944 142.905 52.781 LGN_exc 30
28 transient_ON 2135 140.445 64.133 LGN_exc 30
28 transient_ON 2554 139.533 59.432 LGN_exc 30
28 transient_ON 2779 138.053 61.212 LGN_exc 30
28 transient_ON 2780 139.490 64.370 LGN_exc 30
29 transient_OFF 3685 124.489 75.302 LGN_exc 30
29 transient_OFF 3873 125.238 65.909 LGN_exc 30
29 transient_OFF 4210 124.986 77.161 LGN_exc 30
29 transient_OFF 4477 124.032 61.262 LGN_exc 30
29 transient_OFF 4797 122.984 77.257 LGN_exc 30
29 transient_OFF 4889 123.915 76.725 LGN_exc 30
29 transient_OFF 5218 125.024 63.801 LGN_exc 30
29 transient_OFF 5984 123.165 77.090 LGN_exc 30
29 transient_ON 584 136.251 64.052 LGN_exc 30
29 transient_ON 1058 135.788 67.757 LGN_exc 30
29 transient_ON 1936 132.622 67.977 LGN_exc 30
29 transient_ON 1956 132.039 79.835 LGN_exc 30
29 transient_ON 2250 132.798 80.256 LGN_exc 30
29 transient_ON 2540 132.730 73.001 LGN_exc 30
29 transient_ON 2559 135.100 67.998 LGN_exc 30
29 transient_ON 2729 133.630 70.195 LGN_exc 30
30 transient_OFF 3348 134.529 61.121 LGN_exc 30
30 transient_OFF 3798 132.985 57.470 LGN_exc 30
30 transient_OFF 4769 133.798 60.627 LGN_exc 30
30 transient_OFF 4878 134.081 62.288 LGN_exc 30
30 transient_OFF 5073 134.106 66.560 LGN_exc 30
30 transient_OFF 5485 134.146 52.666 LGN_exc 30
