index src_type src_gid presyn_type N_syn
35 tw 1956 tw_exc 16
35 tw 2921 tw_exc 16
36 tw 1333 tw_exc 1
36 tw 1835 tw_exc 1
36 tw 818 tw_exc 1
36 tw 388 tw_exc 1
36 tw 1882 tw_exc 1
36 tw 108 tw_exc 1
36 tw 1364 tw_exc 1
36 tw 1931 tw_exc 1
36 tw 2353 tw_exc 1
36 tw 1228 tw_exc 1
36 tw 1731 tw_exc 1
36 tw 813 tw_exc 1
36 tw 2209 tw_exc 1
36 tw 1611 tw_exc 1
36 tw 1910 tw_exc 1
36 tw 43 tw_exc 1
36 tw 1492 tw_exc 1
36 tw 2388 tw_exc 1
37 tw 917 tw_exc 1
37 tw 755 tw_exc 1
37 tw 789 tw_exc 1
37 tw 2187 tw_exc 1
37 tw 1632 tw_exc 1
37 tw 1179 tw_exc 1
37 tw 2067 tw_exc 1
37 tw 2677 tw_exc 1
37 tw 1234 tw_exc 1
37 tw 1222 tw_exc 1
37 tw 2346 tw_exc 1
37 tw 2334 tw_exc 1
37 tw 1343 tw_exc 1
37 tw 1124 tw_exc 1
37 tw 2184 tw_exc 1
37 tw 1481 tw_exc 1
37 tw 25 tw_exc 1
37 tw 2783 tw_exc 1
37 tw 316 tw_exc 1
37 tw 2424 tw_exc 1
37 tw 174 tw_exc 1
38 tw 2151 tw_exc 1
38 tw 1456 tw_exc 1
38 tw 1276 tw_exc 1
38 tw 1535 tw_exc 1
38 tw 73 tw_exc 1
38 tw 1491 tw_exc 1
38 tw 2105 tw_exc 1
38 tw 2474 tw_exc 1
38 tw 2987 tw_exc 1
38 tw 1584 tw_exc 1
38 tw 2152 tw_exc 1
38 tw 2525 tw_exc 1
38 tw 1629 tw_exc 1
38 tw 1997 tw_exc 1
38 tw 2822 tw_exc 1
38 tw 1473 tw_exc 1
38 tw 598 tw_exc 1
38 tw 1486 tw_exc 1
38 tw 2304 tw_exc 1
38 tw 406 tw_exc 1
38 tw 520 tw_exc 1
38 tw 2721 tw_exc 1
38 tw 1479 tw_exc 1
39 tw 2513 tw_exc 1
39 tw 479 tw_exc 1
39 tw 129 tw_exc 1
39 tw 2244 tw_exc 1
39 tw 1882 tw_exc 1
39 tw 604 tw_exc 1
39 tw 1472 tw_exc 1
39 tw 781 tw_exc 1
39 tw 2694 tw_exc 1
39 tw 2416 tw_exc 1
39 tw 1049 tw_exc 1
39 tw 108 tw_exc 1
39 tw 1611 tw_exc 1
39 tw 1876 tw_exc 1
39 tw 2212 tw_exc 1
39 tw 348 tw_exc 1
39 tw 396 tw_exc 1
39 tw 472 tw_exc 1
40 tw 1853 tw_exc 1
40 tw 351 tw_exc 1
40 tw 2417 tw_exc 1
40 tw 1482 tw_exc 1
40 tw 309 tw_exc 1
40 tw 785 tw_exc 1
40 tw 51 tw_exc 1
40 tw 947 tw_exc 1
40 tw 1127 tw_exc 1
40 tw 1841 tw_exc 1
40 tw 2217 tw_exc 1
40 tw 1581 tw_exc 1
40 tw 2948 tw_exc 1
40 tw 1787 tw_exc 1
40 tw 969 tw_exc 1
40 tw 660 tw_exc 1
40 tw 1922 tw_exc 1
40 tw 379 tw_exc 1
40 tw 613 tw_exc 1
40 tw 840 tw_exc 1
40 tw 1366 tw_exc 1
40 tw 2003 tw_exc 1
40 tw 2349 tw_exc 1
41 tw 750 tw_exc 1
41 tw 2552 tw_exc 1
41 tw 2923 tw_exc 1
41 tw 579 tw_exc 1
41 tw 644 tw_exc 1
41 tw 1727 tw_exc 1
41 tw 511 tw_exc 1
41 tw 782 tw_exc 1
41 tw 2354 tw_exc 1
41 tw 98 tw_exc 1
41 tw 2952 tw_exc 1
41 tw 887 tw_exc 1
41 tw 1330 tw_exc 1
41 tw 1494 tw_exc 1
41 tw 2456 tw_exc 1
41 tw 2278 tw_exc 1
41 tw 2903 tw_exc 1
41 tw 723 tw_exc 1
42 tw 2926 tw_exc 1
42 tw 703 tw_exc 1
42 tw 1995 tw_exc 1
42 tw 450 tw_exc 1
42 tw 350 tw_exc 1
42 tw 1095 tw_exc 1
42 tw 1561 tw_exc 1
42 tw 1590 tw_exc 1
42 tw 1793 tw_exc 1
42 tw 1680 tw_exc 1
42 tw 1028 tw_exc 1
42 tw 284 tw_exc 1
42 tw 2671 tw_exc 1
42 tw 2117 tw_exc 1
42 tw 1141 tw_exc 1
42 tw 2935 tw_exc 1
42 tw 1950 tw_exc 1
42 tw 844 tw_exc 1
42 tw 110 tw_exc 1
42 tw 1869 tw_exc 1
42 tw 761 tw_exc 1
42 tw 2129 tw_exc 1
43 tw 950 tw_exc 1
43 tw 604 tw_exc 1
43 tw 2395 tw_exc 1
43 tw 215 tw_exc 1
43 tw 2513 tw_exc 1
43 tw 2931 tw_exc 1
43 tw 2233 tw_exc 1
43 tw 723 tw_exc 1
43 tw 400 tw_exc 1
43 tw 388 tw_exc 1
43 tw 119 tw_exc 1
43 tw 1000 tw_exc 1
43 tw 1330 tw_exc 1
43 tw 909 tw_exc 1
